n,b,noise_ratio,confidence,lmsr_mean,cfmm_mean,lmsr_std,cfmm_std
8,50,0.6,0.5,-0.3832029627342018,-0.7192844460264503,5.291321751453281,5.4226621916055056
8,50,0.6,0.8,-0.8980026428409112,0.1333296052747837,3.060011037487662,2.543926976564171
8,50,0.9,0.05,-1.5703393376972685,-0.38047737337456966,13.164590804242145,11.531396641407014
8,50,0.9,0.2,-1.4697131258758425,-2.433655243225721,4.851270172913981,5.166825205620569
8,50,0.9,0.5,-0.18989810352298084,-0.054366607003186414,3.572958861733372,3.5189339226484964
8,50,0.9,0.8,-0.008134718802443593,-0.04372119108784349,2.362169659043255,2.3169498206114607
8,200,0.3,0.05,13.113442646528643,-38.62492790854569,48.82572374933103,67.73041701774878
8,200,0.3,0.2,-4.4631395990402885,-1.8350507972243868,26.54387469633212,23.109487913262193
8,200,0.3,0.5,-3.981951978712618,-5.35068712567613,12.676857518317249,11.078574901584233
8,200,0.3,0.8,-0.12267593429321504,-0.9530372467456106,3.190207638700548,2.6562202157372563
8,200,0.6,0.05,-22.224394590487613,-0.2837120238435165,60.203998583149264,42.96353368006129
8,200,0.6,0.2,-3.85314382672136,-0.2486823337518332,17.88799324381455,13.74089754209023
8,200,0.6,0.5,-1.4964107541393274,-1.6779354159039122,6.051905163885089,7.096072026976896
8,200,0.6,0.8,-0.04896378003563638,-0.6691897002095168,2.459015246113305,3.3496004706164135
8,200,0.9,0.05,-9.017499496949423,-10.34278082371148,21.642647391025402,21.987043827813675
8,200,0.9,0.2,-2.3365420300771316,-1.0936833393340912,6.616150117419752,5.142555775946706
8,200,0.9,0.5,-0.08701674443624256,-0.7195381240141835,4.003762984998768,3.783237613654074
8,200,0.9,0.8,0.1642795807524896,0.005607529457102315,2.7109669749895966,2.338375885663618
8,800,0.3,0.05,-33.29801090277496,-60.49015251328795,124.81798698817501,134.99132622057365
8,800,0.3,0.2,-23.518850405785315,-9.541463531583563,37.4367221851937,34.553904310176605
8,800,0.3,0.5,-2.4497488452428016,-2.84899944624239,9.324083667951886,9.881273639459822
8,800,0.3,0.8,-0.24264390729785107,-0.6731296146331537,2.898669303869149,3.317805924105831
8,800,0.6,0.05,-28.64026684118375,-23.82620033980822,79.57610157383536,77.43912739240632
8,800,0.6,0.2,-10.484634620104432,-6.031857947747683,20.96217090113624,20.95342129384446
8,800,0.6,0.5,-0.7480523288707218,-4.490008695618546,8.59549682875447,8.170675679742478
